fid,objectid,ipedsid,name,address,city,state,zip,zip4,telephone,type,status,population,county,countyfips,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,website,stfips,cofips,sector,level,hi_offer,deg_grant,locale,close_date,merge_id,alias,size_set,inst_size,pt_enroll,ft_enroll,tot_enroll,housing,dorm_cap,tot_emp,shelter_id
1,"2041","441131",THE SEATTLE SCHOOL OF THEOLOGY & PSYCHOLOGY,2501 ELLIOTT AVENUE,SEATTLE,WA,"98121",NOT AVAILABLE,(206) 876-6132,"2",A,"384",KING,"53033",USA,"47.613373453000065","-122.35094540699998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=441131,2009/10/13 02:00:00,IMAGERY,2016/08/02 02:00:00,www.theseattleschool.edu/,"53","033","2","3","20","1","11","-2","-2",THE SEATTLE SCHOOL,"26","1","66","200","266","2","-999","118",NOT AVAILABLE
2,"2662","449889",AMERICAN COLLEGE OF EDUCATION,"101 WEST OHIO STREET, SUITE 1200",INDIANAPOLIS,IN,"46204",NOT AVAILABLE,(800) 280-0307,"3",A,"8517",MARION,"18097",USA,"39.76982362900003","-86.16004661199997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=449889,2011/06/02 02:00:00,IMAGERY/OTHER,2019/03/07 01:00:00,www.ace.edu/,"18","097","3","2","12","1","11","-2","-2",NOT AVAILABLE,"32","3","-999","8112","8112","2","-999","405",NOT AVAILABLE
3,"1074","139940",GEORGIA STATE UNIVERSITY,33 GILMER ST,ATLANTA,GA,"30303","3083",(404) 413-2000,"1",A,"41786",FULTON,"13121",USA,"33.75269953700007","-84.38666979499999","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=139940,2009/12/10 01:00:00,IMAGERY,2016/07/26 02:00:00,www.gsu.edu/,"13","121","1","1","11","1","11","-2","-2",NOT AVAILABLE,"15","5","8533","27827","36360","1","5414","5426",NOT AVAILABLE
4,"1515","413413",CAPELLA UNIVERSITY,"225 SOUTH 6TH STREET, 9TH FLOOR",MINNEAPOLIS,MN,"55402","3389",(866) 808-4080,"3",A,"40828",HENNEPIN,"27053",USA,"44.976185978000046","-93.26871350799996","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=413413,2009/10/13 02:00:00,IMAGERY,2016/06/16 02:00:00,www.capella.edu/,"27","053","3","1","12","1","11","-2","-2",NOT AVAILABLE,"17","5","31439","7491","38930","2","-999","1898",NOT AVAILABLE
5,"5470","236595",SEATTLE UNIVERSITY,900 BROADWAY,SEATTLE,WA,"98122","4340",(206) 296-6000,"2",A,"8581",KING,"53033",USA,"47.61013789500004","-122.319699905","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=236595,2009/10/13 02:00:00,IMAGERY,2016/08/02 02:00:00,www.seattleu.edu/,"53","033","2","2","11","1","11","-2","-2",SEATTLE U,"18","3","1420","5630","7050","1","2448","1531",NOT AVAILABLE
6,"5927","444699",INSTITUTE OF CLINICAL ACUPUNCTURE & ORIENTAL MED,"100 N. BERETANIA STREET, SUITE 203B",HONOLULU,HI,"96817",NOT AVAILABLE,(808) 521-2288,"3",A,"74",HONOLULU,"15003",USA,"21.313924490000034","-157.86087907399997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=444699,2009/10/13 02:00:00,GEOCODE,2016/06/20 02:00:00,www.orientalmedicine.edu/,"15","003","3","1","20","1","11","-2","-2",NOT AVAILABLE,"26","1","3","51","54","2","-999","20",NOT AVAILABLE
7,"6166","211893",CURTIS INSTITUTE OF MUSIC,1726 LOCUST ST,PHILADELPHIA,PA,"19103",NOT AVAILABLE,(215) 435-1698,"2",A,"313",PHILADELPHIA,"42101",USA,"39.94857108200006","-75.17094964499995","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=211893,2009/10/13 02:00:00,IMAGERY/OTHER,2016/07/05 02:00:00,www.curtis.edu/,"42","101","2","1","20","1","11","-2","-2",NOT AVAILABLE,"30","1","-999","145","145","1","87","168",NOT AVAILABLE
8,"4852","168005",SUFFOLK UNIVERSITY,73 TREMONT ST.,BOSTON,MA,"02108","3901",(617) 573-8754,"2",A,"8115",SUFFOLK,"25025",USA,"42.35801020900004","-71.06098451499997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=168005,2009/10/13 02:00:00,IMAGERY,2016/06/28 02:00:00,https://www.suffolk.edu/,"25","025","2","2","11","1","11","-2","-2",NOT AVAILABLE,"17","3","1352","5478","6830","1","1545","1285",NOT AVAILABLE
9,"1208","146241",THE JOHN MARSHALL LAW SCHOOL,315 S PLYMOUTH CT,CHICAGO,IL,"60604",NOT AVAILABLE,NOT AVAILABLE,"2",C,"-999",COOK,"17031",USA,"41.87760217400006","-87.62845183899998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=146241,2009/10/13 02:00:00,IMAGERY/OTHER,2015/12/01 01:00:00,NOT AVAILABLE,"17","031","2","2","13","1","11","-2","145600",NOT AVAILABLE,"31","-2","-999","-999","-999","-1","-999","-999",NOT AVAILABLE
10,"2281","449764",VISIBLE MUSIC COLLEGE,200 MADISON AVE,MEMPHIS,TN,"38103",NOT AVAILABLE,(901) 381-3939,"2",A,"281",SHELBY,"47157",USA,"35.14458600000006","-90.04938099999998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=449764,2009/12/31 01:00:00,IMAGERY/OTHER,2019/03/27 01:00:00,www.visible.edu/,"47","157","2","1","20","1","11","-2","-2",NOT AVAILABLE,"30","1","112","97","209","1","127","72",NOT AVAILABLE
11,"2908","144883",EAST-WEST UNIVERSITY,816 S MICHIGAN AVE,CHICAGO,IL,"60605",NOT AVAILABLE,(312) 939-0111,"2",A,"475",COOK,"17031",USA,"41.87130881100006","-87.62479272699994","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=144883,2009/10/13 02:00:00,IMAGERY/OTHER,2016/06/24 02:00:00,www.eastwest.edu/,"17","031","2","1","30","1","11","-2","-2",NOT AVAILABLE,"21","1","5","414","419","2","-999","56",NOT AVAILABLE
12,"4573","245883",ANTIOCH UNIVERSITY-SEATTLE,2326 6TH AVE,SEATTLE,WA,"98121","1814",(206) 441-5352,"2",A,"885",KING,"53033",USA,"47.617190711000035","-122.34251152299998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=245883,2009/10/13 02:00:00,IMAGERY/OTHER,2015/08/25 02:00:00,www.antiochseattle.edu/,"53","033","2","3","13","1","11","-2","-2",NOT AVAILABLE,"19","1","294","441","735","2","-999","150",NOT AVAILABLE
13,"6167","214883",PEIRCE COLLEGE,1420 PINE STREET,PHILADELPHIA,PA,"19102","4699",(888) 467-3472,"2",A,"1298",PHILADELPHIA,"42101",USA,"39.945482937000065","-75.16633206399996","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=214883,2009/10/13 02:00:00,IMAGERY/OTHER,2016/07/05 02:00:00,https://www.peirce.edu/,"42","101","2","1","20","1","11","-2","-2",NOT AVAILABLE,"22","2","809","237","1046","2","-999","252",NOT AVAILABLE
14,"1084","115083",GOLDEN GATE UNIVERSITY-SAN FRANCISCO,536 MISSION STREET,SAN FRANCISCO,CA,"94105","2968",(415) 442-7800,"2",A,"2940",SAN FRANCISCO,"06075",USA,"37.78920777700006","-122.39878475499995","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=115083,2009/10/13 02:00:00,IMAGERY,2016/07/15 02:00:00,www.ggu.edu/,"06","075","2","2","11","1","11","-2","-2",NOT AVAILABLE,"18","2","1269","1203","2472","2","-999","468",NOT AVAILABLE
15,"1729","228194",SOUTH TEXAS COLLEGE OF LAW HOUSTON,1303 SAN JACINTO STREET,HOUSTON,TX,"77002",NOT AVAILABLE,(713) 659-8040,"2",A,"1250",HARRIS,"48201",USA,"29.75317116000008","-95.36454951499996","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=228194,2009/10/13 02:00:00,IMAGERY/OTHER,2016/07/06 02:00:00,www.stcl.edu/,"48","201","2","3","13","1","11","-2","-2",NOT AVAILABLE,"31","1","220","779","999","2","-999","251",NOT AVAILABLE
16,"5918","440794",PILLAR COLLEGE,"60 PARK PLACE, SUITE 701",NEWARK,NJ,"07102",NOT AVAILABLE,(973) 803-5000 EXT 2000,"2",A,"696",ESSEX,"34013",USA,"40.73830200000003","-74.16889099999997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=440794,2009/12/31 01:00:00,IMAGERY/OTHER,2020/01/31 01:00:00,www.pillar.edu/,"34","013","2","1","20","1","11","-2","-2",NOT AVAILABLE,"24","1","158","376","534","2","-999","162",NOT AVAILABLE
17,"6210","174437",NORTH CENTRAL UNIVERSITY,910 ELLIOT AVE,MINNEAPOLIS,MN,"55404","1391",(612) 343-4400,"2",A,"1297",HENNEPIN,"27053",USA,"44.969388750000064","-93.26142912099994","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=174437,2009/10/13 02:00:00,IMAGERY,2016/07/07 02:00:00,www.northcentral.edu/,"27","053","2","1","20","1","11","-2","-2",NOT AVAILABLE,"22","2","154","908","1062","1","913","235",NOT AVAILABLE
18,"6350","493512",SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY,"1095 K STREET, SUITE B",SAN DIEGO,CA,"92101","7446",(619) 934-0797,"3",A,"106",SAN DIEGO,"06073",USA,"32.708222000000035","-117.15496599999994","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=493512,2020/11/03 01:00:00,IMAGERY/OTHER,2020/11/03 01:00:00,www.sdgku.edu/,"06","073","3","3","20","1","11","-2","-2",NOT AVAILABLE,"-2","1","-999","93","93","2","-999","13",NOT AVAILABLE
19,"6526","494551",GLASGOW CALEDONIAN NEW YORK COLLEGE,64 WOOSTER STREET,NEW YORK,NY,"10012",NOT AVAILABLE,(646) 768-5300,"2",N,"87",NEW YORK,"36061",USA,"40.72328175100006","-74.00169889199998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=494551,2020/09/15 02:00:00,IMAGERY/OTHER,2021/05/12 02:00:00,www.gcnyc.com/,"36","061","2","1","7","1","11","-2","-2",NOT AVAILABLE,"-2","1","46","19","65","2","-999","22",NOT AVAILABLE
20,"3634","209807",PORTLAND STATE UNIVERSITY,724 SW HARRISON,PORTLAND,OR,"97201",NOT AVAILABLE,(503) 725-3000,"1",A,"26783",MULTNOMAH,"41051",USA,"45.511697724000044","-122.68419723399995","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=209807,2009/12/10 01:00:00,IMAGERY/OTHER,2016/08/18 02:00:00,www.pdx.edu/,"41","051","1","1","12","1","11","-2","-2",NOT AVAILABLE,"16","5","8573","15067","23640","1","2166","3143","10783959"
21,"4286","131803",STRAYER UNIVERSITY-DISTRICT OF COLUMBIA,1133 15TH ST NW,WASHINGTON,DC,"20005",NOT AVAILABLE,(877) 445-7180,"3",A,"3148",DISTRICT OF COLUMBIA,"11001",USA,"38.90485070600005","-77.03434898699999","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=131803,2009/10/13 02:00:00,IMAGERY/OTHER,2016/06/07 02:00:00,www.strayer.edu/campus-locations/district-columbia/washington,"11","001","3","1","20","1","11","-2","-2",NOT AVAILABLE,"19","1","661","84","745","2","-999","2403",NOT AVAILABLE
22,"2641","448886",ARIZONA STATE UNIVERSITY-DOWNTOWN PHOENIX,411 N CENTRAL AVE,PHOENIX,AZ,"85004",NOT AVAILABLE,(855) 278-5080,"1",G,"-999",MARICOPA,"04013",USA,"33.45283000000006","-112.07358099999999","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=448886,2009/12/31 01:00:00,IMAGERY/OTHER,2015/11/04 01:00:00,www.asu.edu/,"04","013","1","3","11","1","11","-2","104151",NOT AVAILABLE,"17","-2","-999","-999","-999","-1","-999","-999",NOT AVAILABLE
23,"2720","111391",CALIFORNIA WESTERN SCHOOL OF LAW,225 CEDAR ST,SAN DIEGO,CA,"92101","3046",(619) 239-0391,"2",A,"999",SAN DIEGO,"06073",USA,"32.72171089200003","-117.16259182099998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=111391,2009/10/13 02:00:00,IMAGERY/OTHER,2019/01/24 01:00:00,https://www.cwsl.edu/,"06","073","2","1","13","1","11","-2","-2",NOT AVAILABLE,"31","1","261","535","796","2","-999","203",NOT AVAILABLE
24,"3641","459994",STRAYER UNIVERSITY-GLOBAL REGION,"1133 15TH ST NW, SUITE 200",WASHINGTON,DC,"20005",NOT AVAILABLE,(877) 445-7180,"3",A,"10457",DISTRICT OF COLUMBIA,"11001",USA,"38.90488089000007","-77.03413336399996","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=459994,2013/06/25 02:00:00,IMAGERY/OTHER,2016/05/26 02:00:00,www.strayer.edu/,"11","001","3","1","20","1","11","-2","-2",NOT AVAILABLE,"29","4","9627","830","10457","2","-999","-999",NOT AVAILABLE
25,"343","194310",PACE UNIVERSITY,1 PACE PLAZA,NEW YORK,NY,"10038","1598",(212) 346-1200,"2",A,"16030",NEW YORK,"36061",USA,"40.71170978200007","-74.00487380799996","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=194310,2009/10/13 02:00:00,IMAGERY/OTHER,2016/07/07 02:00:00,www.pace.edu/,"36","061","2","2","11","1","11","-2","-2",PACE UNIVERSITY,"17","4","2970","9865","12835","1","3780","3195",NOT AVAILABLE
26,"1081","142832",ADLER UNIVERSITY,17 NORTH DEARBORN STREET,CHICAGO,IL,"60602",NOT AVAILABLE,(312) 662-4000,"2",A,"1944",COOK,"17031",USA,"41.88662800000003","-87.62565499999994","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=142832,2009/12/31 01:00:00,IMAGERY,2016/07/26 02:00:00,www.adler.edu/,"17","031","2","1","11","1","11","-2","-2",NOT AVAILABLE,"26","2","588","1138","1726","2","-999","218",NOT AVAILABLE
27,"2653","203067",HEBREW UNION COLLEGE-JEWISH INSTITUTE OF RELIGION,ONE W 4TH ST,NEW YORK,NY,"10012","1186",(212) 674-5300,"2",A,"659",NEW YORK,"36061",USA,"40.72893810900007","-73.99449860099998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=203067,2009/10/13 02:00:00,IMAGERY/OTHER,2016/07/01 02:00:00,www.huc.edu/,"36","061","2","2","11","1","11","-2","-2",HUC-JIR,"24","1","62","273","335","2","-999","324",NOT AVAILABLE
28,"4189","234915",CITY UNIVERSITY OF SEATTLE,"521 WALL STREET, SUITE 100",SEATTLE,WA,"98121",NOT AVAILABLE,(888) 422-4898,"2",A,"2545",KING,"53033",USA,"47.61742700000008","-122.34454499999998","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=234915,2009/10/13 02:00:00,IMAGERY/OTHER,2019/01/29 01:00:00,www.cityu.edu/,"53","033","2","3","12","1","11","-2","-2",CITYU,"18","2","1784","268","2052","1","104","493",NOT AVAILABLE
29,"31","134811",AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,"1501 BISCAYNE BOULEVARD, SUITE 100",MIAMI,FL,"33132","1418",(305) 428-5700,"3",A,"1074",MIAMI-DADE,"12086",USA,"25.79000764500006","-80.18839024699997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=134811,2009/10/13 02:00:00,IMAGERY/OTHER,2016/06/08 02:00:00,www.artinstitutes.edu/miami/,"12","086","3","2","20","1","11","-2","-2",NOT AVAILABLE,"30","1","310","624","934","2","-999","140",NOT AVAILABLE
30,"415","459745",THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT WASHINGTON DC,"901 15TH ST., NW",WASHINGTON,DC,"20005",NOT AVAILABLE,(202) 706-5000,"2",A,"812",DISTRICT OF COLUMBIA,"11001",USA,"38.901666284000044","-77.03326189999996","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=459745,2013/06/25 02:00:00,IMAGERY/OTHER,2016/05/26 02:00:00,https://www.thechicagoschool.edu/washington-dc/,"11","001","2","2","11","1","11","-2","-2",NOT AVAILABLE,"26","1","291","475","766","2","-999","46",NOT AVAILABLE
31,"5649","454184",THE KING'S COLLEGE,56 BROADWAY,NEW YORK,NY,"10004",NOT AVAILABLE,(212) 659-7200,"2",A,"514",NEW YORK,"36061",USA,"40.70655800000003","-74.01229599999994","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=454184,2009/10/13 02:00:00,IMAGERY/OTHER,2019/01/31 01:00:00,www.tkc.edu/,"36","061","2","1","30","1","11","-2","-2",NOT AVAILABLE,"21","1","26","416","442","1","275","72",NOT AVAILABLE
32,"5643","384412",UNIVERSITY OF THE POTOMAC-WASHINGTON DC CAMPUS,1401 H STREET NW,WASHINGTON,DC,"20005",NOT AVAILABLE,(202) 274-2300,"3",A,"268",DISTRICT OF COLUMBIA,"11001",USA,"38.900479877000066","-77.03244202499997","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=384412,2009/10/13 02:00:00,IMAGERY/OTHER,2015/10/28 01:00:00,www.potomac.edu/,"11","001","3","1","13","1","11","-2","-2",NOT AVAILABLE,"29","1","-999","232","232","2","-999","36",NOT AVAILABLE
33,"1284","179812",KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES,1750 INDEPENDENCE AVE,KANSAS CITY,MO,"64106","1453",(816) 654-7000,"2",A,"1742",JACKSON,"29095",USA,"39.10755273400008","-94.56137438799999","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://nces.ed.gov/collegenavigator/?id=179812,2009/10/13 02:00:00,IMAGERY,2016/06/10 02:00:00,www.kcumb.edu/,"29","095","2","1","13","1","11","-2","-2",KCU - KANSAS CITY,"25","2","2","1273","1275","2","-999","467",NOT AVAILABLE
